timestamp,time_s,C_air,obs_z005,obs_z020,obs_z035,obs_z050,sim_z005,sim_z020,sim_z035,sim_z050,C_surface_ppm,J_up_Robin_umol
2024-07-20 11:45:00,123300.0000,415.4118,5089.0513,6892.8082,7154.7367,7026.0004,5362.9197,6441.8882,6932.4043,7248.0472,4435.7954,1.6443
2024-07-20 12:00:00,124200.0000,414.1606,5156.4277,6789.6091,7161.9987,7068.5517,5364.9457,6445.0417,6936.7236,7253.6752,4437.2025,1.6454
2024-07-20 12:15:00,125100.0000,414.6190,4954.0857,6683.4845,7266.4416,6908.5040,5366.9406,6448.1973,6941.0418,7259.2916,4438.7210,1.6459
2024-07-20 12:30:00,126000.0000,415.2427,4872.9103,6845.2753,6918.1742,6937.5085,5368.9564,6451.3548,6945.3582,7264.8964,4440.3700,1.6463
2024-07-20 12:45:00,126900.0000,415.1336,5020.0072,6845.9253,7060.5555,7102.6097,5371.0162,6454.5139,6949.6724,7270.4892,4441.9913,1.6470
2024-07-20 13:00:00,127800.0000,415.9969,4967.4259,6886.3811,6942.7528,6979.9124,5373.0902,6457.6763,6953.9839,7276.0700,4443.6763,1.6473
2024-07-20 13:15:00,128700.0000,414.4727,4847.1202,6742.0551,7143.1987,6856.2152,5375.1638,6460.8441,6958.2924,7281.6387,4445.1884,1.6486
2024-07-20 13:30:00,129600.0000,415.1527,4946.2041,6864.3540,6949.3263,6794.5574,5377.2052,6464.0164,6962.5980,7287.1949,4446.7120,1.6489
2024-07-20 13:45:00,130500.0000,414.7168,4978.3189,6778.6239,7171.7381,6934.7454,5379.2447,6467.1909,6966.9005,7292.7387,4448.3143,1.6497
2024-07-20 14:00:00,131400.0000,414.1323,5048.7012,6710.7904,7086.6130,6854.9677,5381.2826,6470.3652,6971.1998,7298.2698,4449.7627,1.6506
2024-07-20 14:15:00,132300.0000,414.4079,4966.9718,6854.9638,6954.7103,7125.9284,5383.3005,6473.5383,6975.4955,7303.7883,4451.3239,1.6511
2024-07-20 14:30:00,133200.0000,415.8634,5092.9139,6745.0846,6808.7547,6958.9460,5385.3601,6476.7097,6979.7870,7309.2939,4453.0812,1.6512
2024-07-20 14:45:00,134100.0000,414.6808,5103.2113,6900.0644,7061.4661,7027.3602,5387.4603,6479.8806,6984.0740,7314.7867,4454.6888,1.6524
2024-07-20 15:00:00,135000.0000,415.6723,4956.6850,6890.0722,6957.2157,7080.8355,5389.5464,6483.0536,6988.3561,7320.2665,4456.3085,1.6526
2024-07-20 15:15:00,135900.0000,415.2643,4923.0633,6763.9293,7136.3669,7005.8129,5391.6364,6486.2297,6992.6332,7325.7331,4457.9832,1.6535
2024-07-20 15:30:00,136800.0000,414.6202,4936.9949,6833.4823,6975.2154,7035.0700,5393.7178,6489.4075,6996.9052,7331.1866,4459.4660,1.6543
2024-07-20 15:45:00,137700.0000,415.5377,4925.9759,6841.5609,7034.7285,7008.3833,5395.7799,6492.5854,7001.1723,7336.6268,4461.1345,1.6546
2024-07-20 16:00:00,138600.0000,414.7366,5047.0826,6855.5015,6985.3402,7114.9084,5397.8585,6495.7622,7005.4342,7342.0537,4462.7134,1.6556
2024-07-20 16:15:00,139500.0000,415.6518,4958.4682,6711.7727,6911.4448,7097.0967,5399.9400,6498.9372,7009.6908,7347.4672,4464.3580,1.6559
2024-07-20 16:30:00,140400.0000,415.1046,4990.0271,6810.5658,6850.6675,7030.5167,5402.0270,6502.1110,7013.9418,7352.8673,4465.9938,1.6568
2024-07-20 16:45:00,141300.0000,415.1334,4917.8807,6841.4221,6852.2440,7100.0134,5404.1109,6505.2837,7018.1869,7358.2538,4467.5521,1.6574
2024-07-20 17:00:00,142200.0000,414.7721,5079.5474,6737.5092,7074.0662,7117.9464,5406.1744,6508.4549,7022.4258,7363.6269,4469.1275,1.6582
2024-07-20 17:15:00,143100.0000,414.6434,4957.8082,6837.1030,7199.9864,7002.9095,5408.2294,6511.6233,7026.6585,7368.9864,4470.6620,1.6589
2024-07-20 17:30:00,144000.0000,416.1511,4984.4039,6860.2839,7060.8294,6892.2321,5410.3047,6514.7879,7030.8846,7374.3323,4472.4295,1.6590
2024-07-20 17:45:00,144900.0000,414.5213,4837.3773,6897.8714,7036.3078,7047.9650,5412.4044,6517.9490,7035.1040,7379.6645,4473.9855,1.6603
2024-07-20 18:00:00,145800.0000,413.9519,5093.7864,6872.7111,6896.3695,7078.5060,5414.4503,6521.1081,7039.3163,7384.9830,4475.3732,1.6611
2024-07-20 18:15:00,146700.0000,414.4374,5035.3744,6762.2477,7001.2072,6928.7237,5416.4585,6524.2637,7043.5214,7390.2877,4476.9564,1.6616
